code;libelle;level;parentCode;isLeaf;pathCodes
BlockL1-KB8;Affections du système digestif du fœtus ou du nouveau-né;L2;N19;FALSE;N19 | BlockL1-KB8
BlockL1-KC0;Troubles du système génitourinaire spécifiques à la période périnatale ou néonatale;L2;N19;FALSE;N19 | BlockL1-KC0
BlockL1-KC2;Troubles intéressant les téguments du fœtus ou du nouveau-né;L2;N19;FALSE;N19 | BlockL1-KC2
BlockL1-KD1;Troubles de la régulation de la température du nouveau-né;L2;N19;FALSE;N19 | BlockL1-KD1
N19-14;Certaines affections dont l'origine se situe dans la période périnatale;L2;N19;FALSE;N19 | N19-14
N19-15;Certaines affections dont l'origine se situe dans la période périnatale, sans précision;L2;N19;TRUE;N19 | N19-15
BlockL1-LA0;Anomalies structurelles du développement affectant principalement un système corporel;L2;N20;FALSE;N20 | BlockL1-LA0
BlockL1-LD2;Anomalies ou syndromes multiples du développement;L2;N20;FALSE;N20 | BlockL1-LD2
BlockL1-LD4;Anomalies chromosomiques, excluant les mutations géniques;L2;N20;FALSE;N20 | BlockL1-LD4
N20-4;Affections présentant des troubles du développement intellectuel comme caractéristique clinique pertinente;L2;N20;FALSE;N20 | N20-4
N20-5;Autres anomalies du développement;L2;N20;TRUE;N20 | N20-5
N20-6;Anomalies du développement, sans précision;L2;N20;TRUE;N20 | N20-6
BlockL1-MA0;Symptômes, signes et résultats d'examens cliniques des maladies du sang, des organes hématopoïétiques ou du système immunitaire;L2;N21;FALSE;N21 | BlockL1-MA0
BlockL1-MA5;Symptômes, signes ou résultats cliniques relatifs aux maladies endocriniennes, nutritionnelles ou métaboliques;L2;N21;FALSE;N21 | BlockL1-MA5
BlockL1-MA8;Symptômes, signes ou résultats cliniques de la parole, du langage ou de la voix;L2;N21;FALSE;N21 | BlockL1-MA8
BlockL1-MB2;Symptômes, signes ou résultats cliniques mentaux ou du comportement;L2;N21;FALSE;N21 | BlockL1-MB2
BlockL1-MB4;Symptômes, signes ou résultats cliniques relatifs au système nerveux;L2;N21;FALSE;N21 | BlockL1-MB4
BlockL1-MC1;Symptômes, signes ou résultats cliniques du système visuel;L2;N21;FALSE;N21 | BlockL1-MC1
BlockL1-MC4;Symptômes, signes ou résultats cliniques relatifs à l'oreille ou à l'apophyse mastoïde;L2;N21;FALSE;N21 | BlockL1-MC4
BlockL1-MC8;Symptômes, signes ou résultats cliniques relatifs au système circulatoire;L2;N21;FALSE;N21 | BlockL1-MC8
BlockL1-MD1;Symptômes, signes ou résultats cliniques relatifs au système respiratoire;L2;N21;FALSE;N21 | BlockL1-MD1
BlockL1-MD8;Symptômes, signes ou résultats cliniques relatifs au système digestif ou à l'abdomen;L2;N21;FALSE;N21 | BlockL1-MD8
BlockL1-ME6;Symptômes, signes ou résultats cliniques intéressant la peau;L2;N21;FALSE;N21 | BlockL1-ME6
BlockL1-ME8;Symptômes, signes ou résultats cliniques relatifs au système musculosquelettique;L2;N21;FALSE;N21 | BlockL1-ME8
BlockL1-MF3;Symptômes, signes ou résultats cliniques relatifs au système génitourinaire;L2;N21;FALSE;N21 | BlockL1-MF3
BlockL1-MG2;Symptômes généraux, signes ou résultats cliniques;L2;N21;FALSE;N21 | BlockL1-MG2
BlockL1-MH1;Causes de mortalité mal définies et inconnues;L2;N21;FALSE;N21 | BlockL1-MH1
N21-16;Autres symptômes, signes ou résultats d'examen clinique précisés, non classés ailleurs;L2;N21;TRUE;N21 | N21-16
BlockL1-NA0;Lésions traumatiques de la tête;L2;N21;FALSE;N21 | BlockL1-NA0
BlockL1-NA2;Lésions traumatiques du cou;L2;N21;FALSE;N21 | BlockL1-NA2
BlockL1-NA8;Lésions traumatiques du thorax;L2;N21;FALSE;N21 | BlockL1-NA8
BlockL1-NB5;Lésions traumatiques de l'abdomen, des lombes, du rachis lombaire ou du bassin;L2;N21;FALSE;N21 | BlockL1-NB5
BlockL1-NC1;Lésions traumatiques de l'épaule ou du bras;L2;N21;FALSE;N21 | BlockL1-NC1
